Rank,Sentence,Cloze,Word,POS,Definition,Translation,CEFR,Note
1,{{c1::Ab}} morgen muss ich arbeiten.,ab,ab,prep.,from,"Starting tomorrow, I have to work.",A1,
2,"Ich bin oft im Büro, {{c1::aber}} nur für wenige Stunden.",aber,aber,conj.,but,"I'm often in the office, but only for a few hours.",A1,
3,Wir {{c1::fahren}} um zwölf Uhr {{c1::ab}}.,fahren ab,abfahren,v.,depart,We leave at noon.,A1,
4,Vor der {{c1::Abfahrt}} rufe ich an.,Abfahrt,die Abfahrt,n. F.,departure,"Before we leave, I'll call.",A1,
5,Ich muss meine Schlüssel {{c1::abgeben}}.,abgeben,abgeben,v.,drop off,I have to drop off my keys.,A1,
6,Wann kann ich den Schrank bei dir {{c1::abholen}}?,abholen,abholen,v.,pick up,When can I pick up the closet from you?,A1,
7,Wir müssen noch meinen Bruder {{c1::abholen}}.,abholen,abholen,v.,pick up,We still have to pick up my brother.,A1,
8,Da ist ein Brief für dich ohne {{c1::Absender}}.,Absender,der Absender,n. M.,sender,There's a letter for you with no return address.,A1,
9,{{c1::Achtung}}! Das düren Sie nicht tun.,Achtung,die Achtung,n. F.,attention,Attention! You mustn't do that.,A1,
10,Können Sie mir seine {{c1::Adresse}} sagen?,Adresse,die Adresse,n. F.,address,Can you tell me his address?,A1,
11,{{c1::Alles}} Gute!,alles,all-,adj.,all,All the best!,A1,
12,Das ist {{c1::alles}}.,alles,all-,pron.,all,That's all.,A1,
13,Sind {{c1::alle}} da?,alle,all-,pron.,all,Is everybody here?,A1,
14,{{c1::Alle}} Freunde kommen.,Alle,all-,det.,all,All friends are coming.,A1,
15,hast du {{c1::alles}}?,alles,all-,pron.,all,Do you have everything?,A1,
16,Er kommt {{c1::allein}}.,allein,allein,adv.,alone,He's coming alone.,A1,
17,"{{c1::Also}}, es ist so: ...",Also,also,adv.,So,"Well, it's like this: ...",A1,
18,"Er hat Zeit, {{c1::also}} muss er uns helfen.",also,also,adv.,so,"He has time, so he must help us.",A1,
19,Wie {{c1::alt}} sind Sie?,alt,alt,adv.,old,How old are you?,A1,
20,Sie sehen aber nicht so {{c1::alt}} aus.,alt,alt,adv.,old,You don't look that old.,A1,
21,Mein Auto ist schon sehr {{c1::alt}}.,alt,alt,adv.,old,My car is very old.,A1,
22,Wir wohnen in einem sehr {{c1::alten}} Haus.,alten,alt,adj.,old,We live in a very old house.,A1,
23,Köln ist eine {{c1::alte}} Stadt.,alte,alt,adj.,old,Cologne is an old city.,A1,
24,{{c1::Alter}}: 26 Jahre.,Alter,das Alter,n. N.,age,Age: 26 years.,A1,
25,Fahren Sie {{c1::an}} der nächsten Straße nach rechts.,an,an,prep.,at,Turn right at the next street.,A1,
26,Wir treffen uns {{c1::am}} Bahnhof.,am,an,prep.,at,Meet me at the train station.,A1,
27,{{c1::Am}} nächsten Montag geht es leider nicht.,Am,an,prep.,at,Next Monday is unfortunately not possible.,A1,
28,Was darf ich dir {{c1::anbieten}}?,anbieten,anbieten,v.,offer,What can I offer you?,A1,
29,Heute sind Sportschuhe im {{c1::Angebot}}.,Angebot,das Angebot,n. N.,offer,There are sports shoes on sale today.,A1,
30,"Willst du diese jacke? - Nein, ich möchte die {{c1::andere}}.",andere,ander-,pron.,other,"Do you want this jacket? - No, I want the other one.",A1,
31,Hier {{c1::fängt}} die Bahnhofstraße {{c1::an}}.,fängt an,anfangen,v.,starts,This is the beginning of Bahnhofstraße.,A1,
32,Der unterricht {{c1::fängt}} gleich {{c1::an}}.,fängt an,anfangen,v.,begins,Class is about to start.,A1,
33,Sie wohnt am {{c1::Anfang}} der Straße.,Anfang,der Anfang,n. M.,beginning,She lives at the beginning of the street.,A1,
34,Wir machen {{c1::Anfang}} Juli Urlaub.,Anfang,der Anfang,n. M.,beginning,We're going on vacation at the beginning of July.,A1,
35,Da musst du dieses Wort {{c1::anklicken}}.,anklicken,anklicken,v.,click,You have to click on this word.,A1,
36,Wann {{c1::kommt}} dieser Zug in Hamburg {{c1::an}}?,kommt an,ankommen,v.,arrives,When does this train arrive in Hamburg?,A1,
37,Auf diesem Plan steht nur die {{c1::Ankunft}} der Züge.,Ankunft,die Ankunft,n. F.,arrival,This schedule only shows the arrival of the trains.,A1,
38,Auf dem Formular müssen Sie an mehreren Stellen etwas {{c1::ankreuzen}}.,ankreuzen,ankreuzen,v.,tick,On the form you have to tick something in several places.,A1,
39,{{c1::Mach}} bitte das Licht {{c1::an}}!,Mach an,anmachen,v.,turn on,Please turn on the light!,A1,
40,Wo kann ich {{c1::mich}} {{c1::anmelden}}?,mich anmelden,(sich) anmelden,v.,register me,Where can I register?,A1,
41,Eine {{c1::Anmeldung}} für diesen Kurs ist nicht mehr möglich.,Anmeldung,die Anmeldung,n. F.,Registration,It is no longer possible to register for this course.,A1,
42,Schreiben Sie auch eine {{c1::Anrede}} und einen Gruß.,Anrede,die Anrede,n. F.,Salutation,Also write a salutation and a greeting.,A1,
43,Kann man Sie {{c1::anrufen}}?,anrufen,anrufen,v.,call,Is it possible to call you?,A1,
44,Peter {{c1::ruft}} kurz seine Freundin {{c1::an}}.,ruft an,anrufen,v.,calls,Peter makes a quick call to his girlfriend.,A1,
45,Sie bekommt viele {{c1::Anrufe}} auf ihrem Handy.,Anrufe,der Anruf,n. M.,calls,She gets a lot of calls on her cell phone.,A1,
46,Wir sind im Moment nicht da. Sprechen Sie bitte auf den {{c1::Anrufbeantworter}}.,Anrufbeantworter,der Anrufbeantworter,n. M.,answering machine,We are not here at the moment. Please leave a message on the answering machine.,A1,
47,Hören Sie die {{c1::Ansagen}}.,Ansagen,die Ansage,n. F.,announcements,Listen to the announcements.,A1,
48,In Mannheim haben Sie {{c1::Anschluss}} nach Saarbrücken.,Anschluss,der Anschluss,n. M.,connection,"In Mannheim, you have a connection to Saarbrücken.",A1,
49,Ist das die Anmeldung für einen {{c1::Telefonanschluss}}?,Telefonanschluss,der Telefonanschluss,n. M.,Telephone connection,Is this the registration for a telephone connection?,A1,
50,Heute Nacht {{c1::war}} das Licht {{c1::an}}.,war an,an sein,v.,was on,The light was on tonight.,A1,
51,Er {{c1::antwortet}} nicht.,antwortet,antworten,v.,answers,He does not answer.,A1,
52,Er gibt leider keine {{c1::Antwort}}.,Antwort,die Antwort,n. F.,Answer,I'm afraid he doesn't answer.,A1,
53,Ich habe Ihre {{c1::Anzeige}} in der Zeitung gelesen.,Anzeige,die Anzeige,n. F.,display,I read your ad in the paper.,A1,
54,Ich muss {{c1::mich}} noch {{c1::anziehen}}.,mich anziehen,(sich) anziehen,v.,dress me,I still have to get dressed.,A1,
55,Wir haben ein {{c1::Apartment}} gemietet.,Apartment,das Apartment,n. N.,Apartment,We've rented an apartment.,A1,
56,Ein Pfund {{c1::Äpfel}} bitte.,Äpfel,der Apfel,n. M.,Apples,"A pound of apples, please.",A1,
57,Guten {{c1::Appetit}}!,Appetit,der Appetit,n. M.,appetite,Enjoy your meal.,A1,
58,Wo {{c1::arbeiten}} Sie?,arbeiten,arbeiten,v.,work,Where do you work?,A1,
59,Mein Bruder sucht {{c1::Arbeit}}.,Arbeit,die Arbeit,n. F.,work,My brother is looking for work.,A1,
60,"Es gibt bei uns viele Leute, die Schon lange arbeitslos sind.",abeitslos,arbeitslos,adj.,unemployed,We have a lot of people who have been unemployed for a long time.,A1,
61,An meinem {{c1::Arbeitsplatz}} fehlt ein Drucker.,Arbeitsplatz,der Arbeitsplatz,n. M.,job,I don't have a printer at my workplace.,A1,
62,Mein {{c1::Arm}} tut weh.,Arm,der Arm,n. M.,arm,My arm hurts.,A1,
63,Morgen habe ich einem Termin bei meiner {{c1::Ärztin}}.,Ärztin,der Arzt,n. M.,doctor,Tomorrow I have an appointment with my doctor.,A1,
64,Ich bin {{c1::auch}} Spanier.,auch,auch,adv.,also,I am also Spanish.,A1,
65,Die Kinder spielen {{c1::auf}} der Straße.,auf,auf,prep.,on,The children play in the street.,A1,
66,{{c1::Auf}} Wiedersehen.,Auf,auf,prep.,On,Goodbye.,A1,
67,Wie heißt das {{c1::auf}} Deutsch?,Auf,auf,prep.,On,How do you say that in German?,A1,
68,Das ist eine schwere {{c1::Aufgabe}}.,Aufgabe,die Aufgabe,n. F.,task,That's a tough one.,A1,
69,Der Kurs {{c1::hört}} in einer Woche {{c1::auf}}.,hört auf,aufhören,v.,stops,The course ends in a week.,A1,
70,Hier {{c1::hört}} die Bahnhofstraße {{c1::auf}}.,hört auf,aufhören,v.,stops,Bahnhofstrasse ends here.,A1,
71,Du brauchst den Schlüssel nicht. Die Wohnung {{c1::ist}} {{c1::auf}}.,ist auf,auf sein,v.,is up,You don't need the key. The apartment is open.,A1,
72,Ich muss immer um vier uhr {{c1::aufstehen}}.,aufstehen,aufstehen,v.,get up,I always have to get up at four.,A1,
73,Soll ich {{c1::aufstehen}}?,aufstehen,aufstehen,v.,stand up,Should I get up?,A1,
74,In diesem Haus gibt es keinen {{c1::Aufzug}}.,Aufzug,der Aufzug,n. M.,elevator,There's no elevator in this house.,A1,
75,Er hat blaue {{c1::Augen}}.,Augen,das Auge,n. N.,eyes,He has blue eyes.,A1,
76,Er kommt {{c1::aus}} Brasilien.,aus,aus,prep.,off,He's from Brazil.,A1,
77,Morgen machen wir einen {{c1::Ausflug}} nach Heidelberg.,Ausflug,der Ausflug,n. M.,trip,Tomorrow we are going on a trip to Heidelberg.,A1,
78,{{c1::Füllen}} Sie bitte dieses Formular {{c1::aus}}.,Füllen aus,ausfüllen,v.,Fill out,Please fill out this form.,A1,
79,Wo ist der {{c1::Ausgang}}?,Ausgang,der Ausgang,n. M.,Exit,Where is the exit?,A1,
80,Können Sie mir eine {{c1::Auskunft}} geben?,Auskunft,die Auskunft,n. F.,Information,Can you give me some information?,A1,
81,Fahren Sie ins {{c1::Ausland}}?,Ausland,das Ausland,n. N.,Foreign country,Are you going abroad?,A1,
82,Sind Sie {{c1::Ausländerin}}?,Ausländerin,der Ausländer,n. M.,foreigner,Are you a foreigner?,A1,
83,Leider habe ich nur {{c1::ausländisches}} Geld.,ausländisches,ausländisch,adj.,foreign,"Unfortunately, I only have foreign money.",A1,
84,{{c1::Mach}} bitte das Licht {{c1::aus}}!,Mach aus,ausmachen,v.,Make out,"Turn off the light, please!",A1,
85,ist die {{c1::Aussage}} richtig oder falsch?,Aussage,die Aussage,n. F.,statement,Is the statement true or false?,A1,
86,Das {{c1::sieht}} schön {{c1::aus}}.,sieht aus,aussehen,v.,looks off,It looks nice.,A1,
87,Das Licht {{c1::ist}} {{c1::aus}}.,ist aus,aus sein,v.,is off,The light is off.,A1,
88,Das Schule {{c1::ist}} {{c1::aus}}.,ist aus,aus sein,v.,is off,School is out.,A1,
89,Wo muss ich {{c1::aussteigen}}?,aussteigen,aussteigen,v.,get off,Where do I get off?,A1,
90,Hier ist mein {{c1::Ausweis}}.,Ausweis,der Ausweis,n. M.,ID card,Here is my pass.,A1,
91,"{{c1::Zieh}} die Schuhe {{c1::aus}}, bitte!",Zieh aus,(sich) ausziehen,v.,pull out,"Take off your shoes, please!",A1,
92,Er kommt mit dem {{c1::Auto}}.,Auto,das Auto,n. N.,car,He's coming by car.,A1,
93,Wo geht's hier bitte zur {{c1::Autobahn}}?,Autobahn,die Autobahn,n. F.,highway,"Which way to the highway, please?",A1,
94,Die Fahrkarten gibt es nur am {{c1::Automaten}}.,Automaten,der Automat,n. M.,vending machine,The tickets are only available at the ticket machine.,A1,
95,Du musst nichts machen. Das geht {{c1::automatisch}}.,automatisch,automatisch,adv.,automatic,You don't have to do anything. It's automatic.,A1,
96,Mein Kind ist noch ein {{c1::Baby}}.,Baby,das Baby,n. N.,Baby,My child is still a baby.,A1,
97,Ich geh mal schnell zur {{c1::Bäckerei}}.,Bäckerei,die Bäckerei,n. F.,Bakery,I'm going to the bakery.,A1,
98,Wir haben kein großes {{c1::Bad}}.,Bad,das Bad,n. N.,bath,We don't have a big bathroom.,A1,
99,"Ich {{c1::bade}} nicht so gern, ich dusche lieber.",bade,baden,v.,bath,"I don't like baths, I prefer showers.",A1,
100,Wir fahren lieber mit der {{c1::Bahn}}.,Bahn,die Bahn,n. F.,Railroad,We prefer to take the train.,A1,
101,Ich nehme die nächste {{c1::Bahn}}.,Bahn,die Bahn,n. F.,Railroad,I'll take the next train.,A1,
102,Komme ich hier zum {{c1::Bahnhof}}?,Bahnhof,der Bahnhof,n. M.,railroad station,Can I get to the station here?,A1,
103,Auf welchem {{c1::Bahnsteig}} fährt der Zug?,Bahnsteig,der Bahnsteig,n. M.,platform,Which platform is the train on?,A1,
104,Ich komme {{c1::bald}}.,bald,bald,adv.,soon,I'll be there soon.,A1,
105,Die Wohnung hat auch einen kleinen {{c1::Balkon}}.,Balkon,der Balkon,n. M.,balcony,The apartment also has a small balcony.,A1,
106,"Drei {{c1::Bananen}}, bitte!",Bananen,die Banane,n. F.,Bananas,"Three bananas, please!",A1,
107,Die {{c1::Bank}} schließt schon um vier Uhr.,Bank,die Bank,n. F.,bench,The bank closes at four o'clock.,A1,
108,Er sitzt im Park auf einer {{c1::Bank}} und liest.,Bank,die Bank,n. F.,bench,He sits on a bench in the park and reads.,A1,
109,Muss ich {{c1::bar}} zahlen oder geht's auch mit Karte?,bar,bar,adv.,bar,Do I have to pay cash or can I use a card?,A1,
110,Seit gestern tut mir der {{c1::Bauch}} weh.,Bauch,der Bauch,n. M.,Belly,My stomach has been hurting since yesterday.,A1,
111,"Vorsicht, fahr nicht an den {{c1::Baum}}!",Baum,der Baum,n. M.,Tree,"Careful, don't hit the tree!",A1,
112,Fragen Sie die {{c1::Beamtin}} an Schalter acht!,Beamtin,der Beamte,n. M.,Official,Ask the clerk at counter eight!,A1,
113,Was {{c1::bedeutet}} das Wort?,bedeutet,bedeuten,v.,means,What does the word mean?,A1,
114,Das Spiel {{c1::beginnt}} um 15.30 Uhr.,beginnt,beginnen,v.,begins,The game starts at 3:30 p.m.,A1,
115,Offenbach liegt {{c1::bei}} Frankfurt.,bei,bei,prep.,at,Offenbach is near Frankfurt.,A1,
116,Ich wohne {{c1::bei}} meinen Eltern.,bei,bei,prep.,at,I live with my parents.,A1,
117,{{c1::Bei}} uns regnet es heute.,Bei,bei,prep.,At,It's raining at our house today.,A1,
118,Er arbeitet {{c1::bei}} der Polizei.,bei,bei,prep.,at,He works for the police.,A1,
119,{{c1::Beide}} Eltern arbeiten.,Beide,beide,det.,both,Both parents work.,A1,
120,Wir kommen {{c1::beide}}.,beide,beide,pron.,both,We both come.,A1,
121,Mein rechtes {{c1::Bein}} tut weh.,Bein,das Bein,n. N.,leg,My right leg hurts.,A1,
122,Kannst du mir ein {{c1::Beispiel}} sagen?,Beispiel,das Beispiel,n. N.,Example,Can you tell me an example?,A1,
123,"Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.",z. B.,zum Beispiel / z. B.,adv.,e.g. ,"Many of my relatives, for example my two brothers, also work here.",A1,
124,Picasso ist sher {{c1::bekannt}}.,bekannt,bekannt,adv.,known,Picasso is very famous.,A1,
125,Ein {{c1::Bekannter}} von mir heißt Klaus.,Bekannter,der/die Bekannte,n.,acquaintance,An acquaintance of mine is called Klaus.,A1,
126,Haben Sie meinen Brief {{c1::bekommen}}?,bekommen,bekommen,v.,get,Did you get my letter?,A1,
127,Was {{c1::bekommen}} Sie?,bekommen,bekommen,v.,get,What do you get?,A1,
128,Bieses medikament {{c1::bekommen}} Sie in der Apotheke.,bekommen,bekommen,v.,get,You can get some medicine at the pharmacy.,A1,
129,Die Aufzüge bitte nicht {{c1::benutzen}}!,benutzen,benutzen,v.,use,Please don't use the elevators!,A1,
130,Was sind Sie von {{c1::Beruf}}?,Beruf,der Beruf,n. M.,profession,What is your profession?,A1,
131,Was ist Ihr {{c1::Beruf}}?,Beruf,der Beruf,n. M.,occupation,What is your profession?,A1,
132,Die Nummer ist immer {{c1::besetzt}}.,besetzt,besetzt,v.,occupied,The number is always busy.,A1,
133,Der Platz ist {{c1::besetzt}}.,besetzt,besetzt,v.,occupies,The seat is occupied.,A1,
134,Ich möchte gern den Dom {{c1::besichtigen}}.,besichtigen,besichtigen,v.,occupy,I would like to visit the cathedral.,A1,
135,Es geht mir schon {{c1::besser}}.,besser,besser,adv.,better,I feel better already.,A1,
136,Am {{c1::besten}} treffen wir uns morgen.,besten,best-,adv.,best,It would be best if we met tomorrow.,A1,
137,"Wir möchten {{c1::bestellen}}, bitte.",bestellen,bestellen,v.,order,"We would like to order, please.",A1,
138,Dieses Buch haben wir nicht - sollen wir es für Sie {{c1::bestellen}}?,bestellen,bestellen,v.,order,We don't have this book - shall we order it for you?,A1,
139,Darf ich dich {{c1::besuchen}}?,besuchen,besuchen,v.,visit,May I visit you?,A1,
140,Wir brauchen noch ein {{c1::Kinderbett}}.,Kinderbett,das Bett,n. N.,crib,We need another crib.,A1,
141,Wo muss ich {{c1::bezahlen}}?,bezahlen,bezahlen,v.,pay,Where do I pay?,A1,
142,Noch ein {{c1::Bier}} bitte.,Bier,das Bier,n. N.,beer,Another beer please.,A1,
143,Hast du ein {{c1::Bild}} von deinem Sohn?,Bild,das Bild,n. N.,picture,Do you have a picture of your son?,A1,
144,Die Jacke kostet nur 10 Euro! Die ist aber {{c1::billig}}?,billig,billig,adv.,cheap,The jacket is only 10 euros! But it's cheap?,A1,
145,"Ein Kilo {{c1::Birnen}}, bitte!",Birnen,die Birne,n. F.,pears,"A kilo of pears, please!",A1,
146,Ich fahre nur {{c1::bis}} Stuttgart.,bis,bis,prep.,to,I'm only going as far as Stuttgart.,A1,
147,Ich warte {{c1::bis}} morgen.,bis,bis,prep.,to,I'll wait until tomorrow.,A1,
148,"Ich spreche Englisch, Französisch und ein {{c1::bisschen}} Deutsch.",bisschen,bisschen,det.,bit,"I speak English, French and a little German.",A1,
149,"Eine Tasse Kaffee, {{c1::bitte}}!",bitte,bitte,part.,please,"A cup of coffee, please!",A1,
150,Sprechen Sie {{c1::bitte}} leise!,bitte,bitte,adv.,please,"Speak softly, please!",A1,
151,Ich habe noch eine {{c1::Bitte}}.,Bitte,die Bitte,n. F.,please,I have one more request.,A1,
152,Darf ich Sie um etwas {{c1::bitten}}?,bitten,bitten,v.,ask,Can I ask you for something?,A1,
153,Der Kaffee schmeckt {{c1::bitter}}.,bitter,bitter,adv.,bitter,The coffee tastes bitter.,A1,
154,Ich {{c1::bleibe}} heute zu Hause.,bleibe,bleiben,v.,stay,I'll stay home today.,A1,
155,Wir {{c1::bleiben}} nur bis morgen.,bleiben,bleiben,v.,stay,We'll only stay until tomorrow.,A1,
156,Hast du einen {{c1::Bleistift}}?,Bleistift,der Bleistift,n. M.,Pencil,Do you have a pencil?,A1,
157,Von diesem Hotel hat man einen guten {{c1::Blick}} auf den Rhein.,Blick,der Blick,n. M.,view,This hotel has a good view of the Rhine.,A1,
158,Gefallen dir die {{c1::Blumen}}?,Blumen,die Blumen,n. F.,flowers,Do you like the flowers?,A1,
159,Schrieben Sie Ihre Lösungen bitte auf den {{c1::Antwortbogen}}.,Antwortbogen,der Bogen,n. M.,answer sheet,Please write your solutions on the answer sheet.,A1,
160,Sie ist {{c1::böse}} auf mich.,böse,böse,adv.,evil,She's mad at me.,A1,
161,{{c1::Brauchst}} du die Zeitung noch?,Brauchst,brauchen,n. prop.,need,Do you still need the newspaper?,A1,
162,Wie {{c1::breit}} ist der Schrank?,breit,breit,adv.,wide,How wide is the closet?,A1,
163,haben Sie einen {{c1::Brief}} für mich?,Brief,der Brief,n. M.,letter,Do you have a letter for me?,A1,
164,Kaufst du bitte {{c1::Briefmarken}} bei der Post.,Briefmarken,die Briefmarke,n. F.,Stamps,Will you please buy stamps at the post office.,A1,
165,{{c1::Bringen}} Sie mir bitten noch einen Kaffee!,Bringen,bringen,v.,bring,"Bring me another coffee, please!",A1,
166,Wir müssen ihn zum Arzt {{c1::bringen}}.,bringen,bringen,v.,bring,We have to take him to the doctor.,A1,
167,Haben Sie auch {{c1::Weißbrot}}?,Weißbrot,das Brot,n. N.,white bread,Do you have white bread?,A1,
168,Nimm noch ein paar {{c1::Brote}} für die Fahrt mit.,Brote,das Brot,n. N.,breads,Take some more bread for the trip.,A1,
169,Möchtest du {{c1::Brötchen}} zum Frühstück?,Brötchen,das Brötchen,n. N.,"buns, rolls",Would you like rolls for breakfast?,A1,
170,Sein {{c1::Bruder}} arbeitet auch hier.,Bruder,der Bruder,n. M.,brother,His brother works here too.,A1,
171,Gute {{c1::Bücher}} sind oft sehr teuer.,Bücher,das Buch,n. N.,books,Good books are often very expensive.,A1,
172,in diesem {{c1::Wörterbuch}} finden Sie mehr als 20.000 Wörter.,Wörterbuch,das Buch,n. N.,dictionary,"In this dictionary you will find more than 20,000 words.",A1,
173,Diesen {{c1::Buchstaben}} gibt es in meiner Sprache nicht.,Buchstaben,der Buchstabe,n. M.,letters,This letter does not exist in my language.,A1,
174,Bitte {{c1::buchstabieren}} Sie Ihren Namen.,buchstabieren,buchstabieren,v.,spell,Please spell your name.,A1,
175,Wann kommt der nächste {{c1::Bus}}?,Bus,der Bus,n. M.,bus,When is the next bus?,A1,
176,Für mich bitte ein Brötchen mit {{c1::Butter}} und Käse.,Butter,die Butter,n. F.,butter,"A roll with butter and cheese for me, please.",A1,
177,Sollen wir uns im {{c1::Café}} treffen?,Café,das Café,n. N.,café,Shall we meet at the café?,A1,
178,Bring bitte deine {{c1::Lieblings-CD}} mit.,Lieblings-CD,"die CD,",n. F.,favorite CD,Please bring your favorite CD.,A1,
179,Wir haben eine neue {{c1::Chefin}}.,Chefin,der Chef,n. M.,boss,We have a new boss.,A1,
180,Von Mainz nach Frankfurt sind es {{c1::circa}} fünfzig Kilometer.,circa,circa / ca.,adv.,circa,It's about fifty kilometers from Mainz to Frankfurt.,A1,
181,Wann bekommst du deinen neuen {{c1::Computer}}?,Computer,der Computer,n. M.,computer,When are you getting your new computer?,A1,
182,{{c1::Da}} hinten ist er ja.,Da,da,conj.,there,There he is in the back.,A1,
183,Wir sprechen gerade über Paul. {{c1::Da}} kommt er ja gerade.,Da,da,adv.,here,We're talking about Paul right now. Here he comes right now.,A1,
184,Ich nehme das {{c1::da}}.,da,da,adv.,that,I'll take that one.,A1,
185,Ist Herr Klein schon {{c1::da}}?,da,da,adv.,here,Is Mr. Klein here yet?,A1,
186,{{c1::Damen}} (an der Toilette),Damen,die Dame,n. F.,Ladies,Ladies (at the toilet),A1,
187,Sehr geehrte {{c1::Damen}} und Herren! ,Damen,die Dame,n. F.,Ladies,Ladies and gentlemen! ,A1,
188,Du kennst doch die Post. {{c1::Daneben}} ist die Bank.,Daneben,daneben,adv.,Next to it,You know the post office. Next to it is the bank.,A1,
189,Ich {{c1::danke}} Ihnen für die Einladung.,danke,danken,v.,thanks,Thank you for the invitation.,A1,
190,Vielen {{c1::Dank}}!,Dank,der Dank,n. M.,Thanks,Thank you very much!,A1,
191,Herzlichen {{c1::Dank}}! ,Dank,der Dank,n. M.,thanks,Thank you very much! ,A1,
192,"Soll ich Ihnen helfen? - Nein, {{c1::danke}}!",danke,danke,v.,thank you,"Shall I help you? - No, thank you.",A1,
193,"Ich muss noch schnell zur Post, {{c1::dann}} komme ich.",dann,dann,adv.,then,"I have to go to the post office quickly, then I'll come.",A1,
194,Bitte schreiben Sie noch das {{c1::Datum}} auf das Formular.,Datum,das Datum,n. N.,Date,Please write the date on the form.,A1,
195,Wie lange {{c1::dauert}} der Film?,dauert,dauern,v.,lasts,How long is the film?,A1,
196,Ist das {{c1::dein}} Auto?,dein,dein,det.,your,Is this your car?,A1,
197,Ist das {{c1::deins}}?,deins,dein,pron.,yours,Is this yours?,A1,
198,"Ich kann nicht kommen, {{c1::denn}} ich bin krank.",denn,denn,pron.,because,I can't come because I'm sick.,A1,
199,Ich nehme {{c1::das}} da.,das,das,pron.,the,I'll take that one.,A1,
200,"Hier ist {{c1::der}} Brief, den du suchst.",der,der,det.,the,Here's the letter you're looking for.,A1,
201,{{c1::Die}} Fahrkarte bekommst du am Bahnhof.,Die,die,det.,The,You can get the ticket at the station.,A1,
202,Die Blumen sind für {{c1::dich}}.,dich,dich,pron.,you,The flowers are for you.,A1,
203,{{c1::Ich}} nehme lieber diesen Kuchen.,Ich,ich,pron.,I,I'd rather have this cake.,A1,
204,Gefallen {{c1::dir}} die Blumen?,dir,dir,pron.,you,Do you like the flowers?,A1,
205,Heute abend gehen wir in die {{c1::Disco}} tanzen.,Disco,die Disco,n. F.,Disco,Tonight we're going dancing at the disco.,A1,
206,Meine Tochter ist krank. Wir gehen zum {{c1::Doktor}}.,Doktor,der Doktor,n. M.,Doctor,My daughter is sick. We're going to see the doctor.,A1,
207,Wollen Sie ein {{c1::Doppelzimmer}} oder ein Einzelzimmer?,Doppelzimmer,das Doppelzimmer,n. N.,Double room,Do you want a double room or a single room?,A1,
208,Meine Familie lebt in einem {{c1::Dorf}}.,Dorf,das Dorf,n. N.,village,My family lives in a village.,A1,
