Rank,Sentence,Cloze,Word,POS,Definition,Translation,CEFR,Note
422,Frau Rausch arbeitet {{c1::in}} einem Geschäft.,in,in,prep.,in,Mrs. Rausch works in a store.,A1,
423,"Komm, wir gehen {{c1::ins}} Kino.",ins,in,prep.,into,Let's go to the movies.,A1,
424,"Wenn Sie Fragen haben, gehen Sie zur {{c1::Information}}.",Information,die Information,n. F.,Information,"If you have any questions, go to the information desk.",A1,
425,Wir haben hier wichtige Informationen für Sie. ,Information,die Information,n. F.,Information,We have important information for you here. ,A1,
426,"Unser Deutschkurs ist {{c1::international}}: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ...",international,international,adv.,international,"Our German course is international: Silvana comes from Italy, Conchi from Spain, Yin from China ...",A1,
427,Das findest du im {{c1::Internet}}. ,Internet,das Internet,n. N.,Internet,You can find that on the Internet. ,A1,
428,Sind Sie Herr Watanabe? – {{c1::Ja}}.,Ja,ja,part.,Yes,Are you Mr. Watanabe? Yes.,A1,
429,Zieh dir eine {{c1::Jacke}} an. Es ist kalt.,Jacke,die Jacke,n. F.,Jacket,Put on a jacket. It's cold.,A1,
430,Blumen kannst du in {{c1::jedem}} Bahnhof kaufen.,jedem,jed-,det.,each,You can buy flowers at any station.,A1,
431,{{c1::Jetzt}} machen wir eine Pause.,jetzt,jetzt,adv.,now,Now we'll take a break.,A1,
432,Jenny hat einen neuen {{c1::Job}} bei der Post.,Job,der Job,n. M.,Job,Jenny has a new job at the post office.,A1,
433,Viele {{c1::Jugendliche}} kaufen gern ein.,Jugendliche,der Jugendliche,n. M.,teenagers,Many young people like to shop.,A1,
434,Claudia ist 21. – Was? Noch so {{c1::jung}}?,jung,jung,adv.,young,Claudia is 21. - What? Still so young?,A1,
435,Ich habe zwei Kinder. Einen {{c1::Jungen}} und ein Mädchen. ,Jungen,der Junge,n. M.,boys,I have two children. A boy and a girl. ,A1,
436,Zum Frühstück trinke ich immer {{c1::Kaffee}}.,Kaffee,der Kaffee,n. M.,coffee,I always have coffee for breakfast.,A1,
437,Das Glas war teuer. Es geht sehr leicht {{c1::kaputt}}.,kaputt,kaputt,adv.,broken,The glass was expensive. It breaks very easily.,A1,
438,Ich schreibe meinen Bekannten eine {{c1::Karte}} aus dem Urlaub.,Karte,die Karte,n. F.,Map,I write a card to my acquaintances from vacation.,A1,
439,Wollen wir {{c1::Karten}} spielen?,Karten,die Karte,n. F.,Cards,Shall we play cards?,A1,
440,"Ich möchte auch etwas essen. Bringen Sie mir die {{c1::Karte}}, bitte.",Karte,die Karte,n. F.,Card,"I would like to eat something too. Bring me the card, please.",A1,
441,Kann ich auch mit {{c1::Karte}} zahlen?,Karte,die Karte,n. F.,Card,Can I pay with a card?,A1,
442,Für Pommes frites braucht man {{c1::Kartoffeln}}.,Kartoffeln,die Kartoffel,n. F.,Potatoes,For French fries you need potatoes.,A1,
443,Zahlen Sie bitte an der {{c1::Kasse}}.,Kasse,die Kasse,n. F.,cash desk,"Pay at the cash register, please.",A1,
444,Tim {{c1::kauft}} sich ein neues Auto.,kauft,kaufen ,v.,buys,Tim is buying a new car.,A1,
445,Es gibt {{c1::keine}} Eintrittskarten mehr.,keine,kein ,det.,none,There are no more tickets.,A1,
446,"{{c1::Kennen}} Sie diese Frau? – Nein, leider nicht.",Kennen,kennen,v.,Know,"Do you know this woman? No, unfortunately not.",A1,
447,Wir sind neu hier. Wir möchten Sie {{c1::kennenlernen}}.,kennenlernen,kennenlernen,v.,get to know,We are new here. We'd like to get to know you.,A1,
448,Wie viele {{c1::Kinder}} haben Sie?,Kinder,das Kinder,n. N.,Children,How many children do you have?,A1,
449,Die kleine Laura geht schon in den {{c1::Kindergarten}}.,Kindergarten,der Kindergarten ,n. M.,kindergarten,Little Laura already goes to kindergarten.,A1,
450,Wir sehen heute Abend im {{c1::Kino}} einen schönen Film.,Kino,das Kino ,n. N.,cinema,We're going to see a nice movie at the cinema tonight.,A1,
451,"Am {{c1::Kiosk}} bekommen Sie Getränke, Zigaretten und Zeitungen.",Kiosk,der Kiosk ,n. M.,Kiosk,"At the kiosk you can get drinks, cigarettes and newspapers.",A1,
452,Kommst du mit? – {{c1::Klar}}!,Klar,klar,adv.,Clear,Are you coming? - Sure.,A1,
453,In unserer {{c1::Klasse}} sind fünfundzwanzig Schüler.,Klasse,die Klasse,n. F.,Class,There are twenty-five students in our class.,A1,
454,Im Zug fahre ich immer 2. {{c1::Klasse}}.,Klasse,die Klasse,n. F.,Class,I always travel 2nd class on the train.,A1,
455,"Wo finde ich {{c1::Kleidung}}? – Jacken im ersten, Jeans im zweiten Stock.",Kleidung,die Kleidung,n. F.,clothes,"Where can I find clothes? - Jackets on the second floor, jeans on the second.",A1,
456,Eltville ist eine {{c1::kleine}} Stadt am Rhein.,kleine,klein,adj.,small,Eltville is a small town on the Rhine.,A1,
457,Herr Georgi kann gut {{c1::kochen}}.,kochen,kochen,v.,cook,Mr. Georgi is a good cook.,A1,
458,Ist das Ihr {{c1::Koffer}}?,Koffer,der Koffer,n. M.,suitcase,Is that your suitcase?,A1,
459,Wie heißt die neue {{c1::Kollegin}}?,Kollegin,der Kollege ,n. M.,colleague,What's the name of the new colleague?,A1,
460,Woher {{c1::kommen}} Sie? – Aus Frankreich.,kommen,kommen ,v.,come,Where are you from? - From France.,A1,
461,{{c1::Kommst}} du mit ins Schwimmbad?,Kommst,kommen ,v.,Come,Are you coming to the swimming pool?,A1,
462,Ich {{c1::kann}} Deutsch und Russisch.,kann,können ,aux.,can,I know German and Russian.,A1,
463,{{c1::Können}} Sie mir helfen?,Können,können ,aux.,Can,Can you help me?,A1,
464,Das Geld überweisen wir am ersten März auf Ihr {{c1::Konto}}.,Konto,das Konto ,n. N.,Account,We will transfer the money to your account on the first of March.,A1,
465,Mein {{c1::Kopf}} tut weh!,Kopf,der Kopf,n. M.,Head,My head hurts!,A1,
466,Wie viel {{c1::kostet}} das? – 10 Euro.,kostet,kosten,v.,costs,How much is it? - 10 euros.,A1,
467,"Ich kann heute nicht zur Arbeit kommen, ich bin {{c1::krank}} und liege im Bett.",krank,krank,adv.,sick,"I can't come to work today, I'm sick and in bed.",A1,
468,Ich {{c1::kriege}} 15 Euro in der Stunde für meine Arbeit.,kriege,kriegen,v.,get,I get 15 euros an hour for my work.,A1,
469,Der neue Herd kommt in die {{c1::Küche}}.,Küche,die Küche,n. F.,Kitchen,The new stove goes in the kitchen.,A1,
470,Ich nehme ein Stück {{c1::Kuchen}}. ,Kuchen,der Kuchen,n. M.,Cake,I'll have a piece of cake. ,A1,
471,Hast du einen {{c1::Kugelschreiber}} für mich?,Kugelschreiber,der Kugelschreiber ,n. M.,pen,Do you have a pen for me?,A1,
472,"Haben wir noch Milch? – Ja, im {{c1::Kühlschrank}}.",Kühlschrank,der Kühlschrank ,n. M.,fridge,"Do we still have milk? Yes, in the fridge.",A1,
473,Ich bin {{c1::kulturell}} interessiert. Ich gehe oft ins Museum.,kulturell,kulturell,adv.,cultural,I am culturally interested. I often go to the museum.,A1,
474,Jede Mutter {{c1::kümmert}} {{c1::sich}} um ihre kleinen Kinder.,kümmert sich,sich kümmern ,v. ,cares,Every mother takes care of her little children.,A1,
475,"Einen Moment, bitte. Ich habe eine {{c1::Kundin}}.",Kundin,der Kunde,n. M.,customer,"One moment, please. I have a customer.",A1,
476,Der {{c1::Deutschkurs}} geht bis zum Sommer.,Deutschkurs,der Kurs,n. M.,German course,The German course goes until summer.,A1,
477,Ricardo hat {{c1::kurzes}} Haar. ,kurzes,kurz,adj.,short,Ricardo has short hair. ,A1,
478,Die Kinder {{c1::lachen}} viel.,lachen,lachen,v.,laugh,The children laugh a lot.,A1,
479,Im {{c1::Buchladen}} können Sie Bücher kaufen.,Buchladen,"der Laden, -ä",n. M.,bookstore,You can buy books in the bookstore.,A1,
480,Italien ist ein schönes {{c1::Land}}.,Land,"das Land, -ä, er",n. N.,country,Italy is a beautiful country.,A1,
481,Die Jeans ist zu {{c1::lang}}.,lang,lang,adv.,long,The jeans are too long.,A1,
482,Wie {{c1::lange}} fährt der Zug von Hamburg nach Berlin?,lange,lange,adv.,long,How long does the train take from Hamburg to Berlin?,A1,
483,Könnten Sie bitte etwas {{c1::langsamer}} sprechen?,langsamer,langsam,adv.,slower,Could you please speak a little slower?,A1,
484,"Ich möchte nicht Auto fahren, ich möchte {{c1::laufen}}.",laufen,laufen,v.,run,"I don't want to drive, I want to walk.",A1,
485,Nicht so {{c1::laut}}! Das Baby schläft.,laut,laut,adv.,loud,Not so loud! The baby is sleeping.,A1,
486,Sie {{c1::lebt}} bei ihrer Schwester.,lebt,leben ,v.,lives,She lives with her sister.,A1,
487,Ihre Eltern {{c1::leben}} nicht mehr.,leben,leben ,v.,life,Her parents are no longer alive.,A1,
488,Das {{c1::Leben}} in diesem Land ist teuer.,Leben,das Leben,n. N.,Life,Life in this country is expensive.,A1,
489,{{c1::Lebensmittel}} bekommen Sie im Supermarkt.,Lebensmittel,die Lebensmittel,n. F.,Food,You can get food at the supermarket.,A1,
490,Sind Sie verheiratet? – Nein. {{c1::Ledig}}.,Ledig,ledig,adv.,Single,Are you married? - No. Single.,A1,
491,{{c1::Legen}} Sie das Buch auf den Tisch.,Legen,legen,v.,Lay,Put the book on the table.,A1,
492,Unsere Deutschlehrerin heißt Frau Müller.,Duetschlehrerin,der Lehrer,n. M.,Duet teacher,Our German teacher's name is Frau Müller.,A1,
493,Der Koffer ist {{c1::leicht}}. ,leicht,leicht,adv.,easy,The case is light. ,A1,
494,Deutsch ist nicht {{c1::leicht}}.,leicht,leicht,adv.,easy,German is not easy.,A1,
495,{{c1::Leider}} kann ich nicht kommen. Ich muss zum Arzt.,Leider,leider,adv.,Unfortunately,"Unfortunately, I can't come. I have to go to the doctor.",A1,
496,Seid {{c1::leise}}. Die anderen schlafen schon.,leise,leise,adv.,soft,Be quiet. The others are already asleep.,A1,
497,Wie lange {{c1::lernen}} Sie schon Deutsch?,lernen,lernen,v.,learn,How long have you been learning German?,A1,
498,Ich {{c1::lese}} ein Buch von García Márquez.,lese,lesen,v.,read,I'm reading a book by García Márquez.,A1,
499,Morgen ist der {{c1::letzte}} Kurstag.,letzte,letzt-,adj.,last,Tomorrow is the last day of class.,A1,
500,In der Disko sind viele {{c1::Leute}}.,Leute,die Leute,n. F.,people,There are many people in the disco.,A1,
501,Wo macht man hier das {{c1::Licht}} an?,Licht,das Licht ,n. N.,light,Where do you turn on the light here?,A1,
502,"Liebe Susanne, {{c1::lieber}} Hans,",lieber,lieb-,adv.,dear,"Dear Susanne, dear Hans,",A1,
503,Ich {{c1::liebe}} dich!,liebe,lieben,v.,love,I love you!,A1,
504,Sie fährt {{c1::lieber}} mit der Bahn.,lieber,lieber,adv.,prefer,She prefers to go by train.,A1,
505,Mein {{c1::Lieblingsfilm}} ist „Schwarze Augen“.,Lieblingsfilm,Lieblings-,n.,favorite movie,"My favorite movie is ""Black Eyes"".",A1,
506,Welches ist dein {{c1::Lieblingslied}}?,Lieblingslied,das Lied,n. N.,favorite song,What is your favorite song?,A1,
507,Um neun Uhr {{c1::liegt}} Judith noch im Bett.,liegt,liegen ,v.,lies,At nine o'clock Judith is still in bed.,A1,
508,Frankfurt {{c1::liegt}} am Main.,liegt,liegen,v.,lies,Frankfurt is on the Main.,A1,
509,Gehen Sie die nächste Straße {{c1::links}}.,links,links,adv.,left,Take the next left.,A1,
510,Dieser {{c1::Lastkraftwagen}} ist sehr groß.,Lastkraftwagen,der Lkw,n. M.,Truck,This truck is very big.,A1,
511,In unserer Straße gibt es ein neues {{c1::Lokal}}.,Lokal,das Lokal,n. N.,Local,There is a new restaurant on our street.,A1,
512,Die {{c1::Lösung}} ist ganz einfach.,Lösung,die Lösung,n. F.,solution,The solution is quite simple.,A1,
513,Frau Mertens ist {{c1::lustig}}. Sie lacht immer. ,lustig,lustig,adv.,funny,Mrs. Mertens is funny. She is always laughing. ,A1,
514,Was {{c1::machst}} du heute Abend?,machst,machen,v.,make,What are you doing tonight?,A1,
515,Ich muss jetzt das Essen {{c1::machen}}. ,machen,machen,v.,make,I have to make dinner now. ,A1,
516,Das {{c1::macht}} 5 Euro 95.,macht,machen,v.,makes,That'll be 5 euros 95.,A1,
517,Das {{c1::macht}} nichts.,macht,machen,v.,makes,It doesn't matter.,A1,
518,Familie Kurz bekommt ein Baby. – Junge oder {{c1::Mädchen}}?,Mädchen,das Mädchen,n. N.,girl,The Kurz family is having a baby. - Boy or girl?,A1,
519,Hier darf {{c1::man}} nicht rauchen.,man,man,pron.,man,You can't smoke here.,A1,
520,Mein {{c1::Mann}} arbeitet bei der Polizei.,Mann,der Mann,n. M.,man,My husband works for the police.,A1,
521,Kreuzen Sie bitte an: „weiblich“ oder „{{c1::männlich}}“.,männlich,männlich,adv.,male,"Please mark with a cross: ""female"" or ""male"".",A1,
522,Die Waschmaschine ist günstig.,Waschmasschine,die Maschine,n. F.,washing machine,The washing machine is cheap.,A1,
523,Wir machen Urlaub am {{c1::Meer}}.,Meer,das Meer,n. N.,sea,We are going on vacation to the sea.,A1,
524,Dieses Auto kostet 1.000 Euro {{c1::mehr}} als das andere.,mehr,mehr,pron.,more,"This car costs 1,000 euros more than the other.",A1,
525,{{c1::Mein}} Vater ist Arzt.,Mein,mein,det.,My,My father is a doctor.,A1,
526,Die {{c1::meisten}} Norddeutschen sind sehr groß.,meisten,meist-,det.,most,Most northern Germans are very tall.,A1,
527,Die {{c1::Menschen}} sind hier anders als bei uns.,Menschen,der Mensch,n. M.,people,People here are different from us.,A1,
528,Ich möchte ein Auto {{c1::mieten}}.,mieten,mieten,v.,rent,I want to rent a car.,A1,
529,Die {{c1::Miete}} für diese Wohnung ist 600 Euro.,Miete,die Miete,n. F.,Rent,The rent for this apartment is 600 euros.,A1,
530,Die {{c1::Milch}} steht im Kühlschrank.,Milch,die Milch,n. F.,Milk,The milk is in the refrigerator.,A1,
531,Trinken Sie den Kaffee {{c1::mit}} Milch?,mit,mit,prep.,with,Do you drink the coffee with milk?,A1,
532,Ich gehe einkaufen. Soll ich dir was {{c1::mitbringen}}?,mitbringen,mitbringen,v.,bring,I'm going shopping. Do you want me to bring you something?,A1,
533,Ich gehe ins Kino. {{c1::Kommst}} du {{c1::mit}}?,Kommst mit,mitkommen,v.,Come with,I'm going to the movies. Are you coming?,A1,
534,Warum {{c1::macht}} ihr nicht {{c1::mit}}?,macht mit,mitmachen,v.,Join in,Why don't you join me?,A1,
535,{{c1::Nehmen}} wir meine Schwester ins Kino {{c1::mit}}?,Nehmen mit,mitnehmen,v.,Take with,Are we taking my sister to the movies?,A1,
536,Der Lehrer steht in der {{c1::Mitte}} des Klassenzimmers.,Mitte,die Mitte,n. F.,center,The teacher is standing in the middle of the classroom.,A1,
537,Sind die {{c1::Möbel}} neu?,Möbel,die Möbel,n. F.,furniture,Is the furniture new?,A1,
538,Was {{c1::möchten}} Sie trinken?,möchten,möchten,aux.,would like,What would you like to drink?,A1,
539,{{c1::Magst}} du Kaffee oder Tee?,Magst,mögen,adj.,Like,Do you like coffee or tea?,A1,
540,Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr {{c1::möglich}}.,möglich,möglich,adv.,possible,With this ticket you can go from 9 o'clock.,A1,
541,{{c1::Moment}} mal bitte!,Moment,der Moment,n. M.,Moment,One moment please!,A1,
542,Einen {{c1::Moment}} bitte.,Moment,der Moment,n. M.,Moment,One moment please.,A1,
543,{{c1::Morgen}} beginnt die Schule um 10 Uhr.,Morgen,morgen,adv.,morning,Tomorrow school starts at 10 o'clock.,A1,
544,Ich bin {{c1::müde}}. Ich gehe schlafen.,müde,müde,adv.,tired,I'm tired. I'm going to sleep.,A1,
545,Öffnen Sie den {{c1::Mund}}.,Mund,der Mund,n. M.,mouth,Open your mouth.,A1,
546,Ich {{c1::muss}} jeden Tag von 8 Uhr bis 18 Uhr arbeiten.,muss,müssen,aux.,must,I have to work from 8 a.m. to 6 p.m. every day.,A1,
547,Frau Berghäuser ist die {{c1::Mutter}} von Michaela. ,Mutter,die Mutter,n. F.,mother,Mrs. Berghäuser is Michaela's mother. ,A1,
548,Ich gehe jetzt {{c1::nach}} Hause.,nach,nach,prep.,after,I'm going home now.,A1,
549,Ich fliege {{c1::nach}} München.,nach,nach,prep.,after,I'm flying to Munich.,A1,
550,Es ist schon 5 {{c1::nach}} 12.,nach,nach,prep.,after,It's already 5 past 12.,A1,
551,Sehen wir uns {{c1::nächste}} Woche?,nächste,nächst-,adj.,next,Will I see you next week?,A1,
552,Mein {{c1::Name}} ist Thomas Schmidt.,Name,der Name,n. M.,Name,My name is Thomas Schmidt.,A1,
553,Mein {{c1::Vorname}} ist Thomas; Schmidt ist der Familienname.,Vorname,der Vorname,n. M.,first name,My first name is Thomas; Schmidt is the family name.,A1,
554,Heute gibt es Hähnchen. Das {{c1::nehme}} ich. ,nehme,nehmen,v.,take,We're having chicken today. I'll take that. ,A1,
555,Ich {{c1::nehme}} den Bus.,nehme,nehmen,v.,take,I'll take the bus.,A1,
556,"Fährst du auch nach München? – {{c1::Nein}}, ich habe keine Zeit.",Nein,nein,part.,No,"Are you going to Munich, too? - No, I don't have time.",A1,
557,Ich bin der {{c1::neue}} Kollege.,neue,neu,adj.,new,I'm the new colleague.,A1,
558,Wir haben eine {{c1::neue}} Wohnung.,neue,neu,adj.,new,We have a new apartment.,A1,
559,Das stimmt {{c1::nicht}}.,nicht,nicht,part.,not,That's not true.,A1,
560,"Das ist doch schön, {{c1::nicht}}?",nicht,nicht,part.,not,"That's nice, isn't it?",A1,
561,Das macht {{c1::nichts}}.,nichts,nichts,pron.,nothing,It doesn't matter.,A1,
562,Hier kaufe ich {{c1::nichts}}. Der Laden gefällt mir nicht.,nichts,nichts,pron.,nothing,I don't buy anything here. I don't like this place.,A1,
563,Er kommt {{c1::nie}} pünktlich. ,nie,nie,adv.,never,He never comes on time. ,A1,
564,Vielleicht kommt er {{c1::noch}}.,noch,noch,adv.,nor,Maybe he will.,A1,
565,Wir warten {{c1::noch}} fünf Minuten.,noch,noch,adv.,nor,We'll wait another five minutes.,A1,
566,Ich habe {{c1::noch}} 20 Euro.,noch,noch,adv.,nor,I still have 20 euros.,A1,
567,75 kg. Sein Gewicht ist {{c1::normal}}.,normal,normal,adv.,normal,Seventy-five kilos. His weight is normal.,A1,
568,Sie haben Zimmer {{c1::Nummer}} zwölf.,Nummer,die Nummer,n. F.,Number,You have room number twelve.,A1,
569,Welche {{c1::Hausnummer}} haben Sie?,Hausnummer,die Nummer,n. F.,House number,What's your number?,A1,
570,Können Sie mir Ihre {{c1::Nummer}} geben?,Nummer,die Nummer,n. F.,number,Can you give me your number?,A1,
571,Ich möchte {{c1::nur}} ein Glas Wasser. ,nur,nur,adv.,only,I just want a glass of water. ,A1,
572,Ich wohne {{c1::oben}}.,oben,oben,adv.,top,I live upstairs.,A1,
573,Im Sommer ist das {{c1::Obst}} billig.,Obst,das Obst,n. N.,Fruit,Fruit is cheap in the summer.,A1,
574,Wann können Sie kommen – heute {{c1::oder}} morgen?,oder,oder,conj.,or,When can you come - today or tomorrow?,A1,
575,Ich {{c1::öffne}} die Tür.,öffne,öffnen,v.,open,I'll open the door.,A1,
576,Der Laden ist samstags bis 16.00 Uhr {{c1::geöffnet}}.,geöffnet,geöffnet,v.,open,The store is open until 4 p.m. on Saturdays.,A1,
577,Petra treffe ich {{c1::oft}}.,oft,oft,adv.,Often,I often meet Petra.,A1,
578,{{c1::Ohne}} Geld kann er nichts kaufen.,Ohne,ohne,prep.,Without,He can't buy anything without money.,A1,
579,Den Salat machen wir ohne {{c1::Öl}}.,Öl,das Öl,n. N.,Oil,We make the salad without oil.,A1,
580,Meine {{c1::Oma}} ist schon tot.,Oma,die Oma,n. F.,Grandma,My grandma is already dead.,A1,
581,Mein {{c1::Opa}} heißt Hans.,Opa,der Opa,n. M.,Grandpa,My grandpa's name is Hans.,A1,
582,Das ist in {{c1::Ordnung}}.,Ordnung,die Ordnung,n. F.,Order,That's all right.,A1,
583,Der {{c1::Ort}} liegt am Meer. ,Ort,der Ort,n. M.,Place,The place is by the sea. ,A1,
584,Hier sind {{c1::Papier}} und Bleistift.,Papier,das Papier,n. N.,Paper,Here are paper and pencil.,A1,
585,Haben Sie Ihre {{c1::Papiere}} dabei? ,Papiere,die Papiere,n. F.,papers,Do you have your papers with you? ,A1,
586,Sie ist meine {{c1::Partnerin}}.,Partnerin,die Partnerin,n. F.,Partner,She's my partner.,A1,
587,Heute Abend machen wir eine {{c1::Party}}.,Party,die Party,n. F.,Party,Tonight we'll have a party.,A1,
588,Im Hotel brauchst du deinen {{c1::Pass}}.,Pass,der Pass,n. M.,Passport,At the hotel you need your passport.,A1,
589,Von 12.00 bis 12.30 Uhr haben wir {{c1::Mittagspause}}.,Mittagspause,die Pause,n. F.,Lunch break,From 12:00 to 12:30 we have lunch break.,A1,
590,Ich kaufe mir einen {{c1::Stadtplan}}.,Stadtplan,der Plan,n. M.,City map,I'll buy a map of the city.,A1,
591,"Tut mir leid, der {{c1::Platz}} ist besetzt.",Platz,der Platz,n. M.,Place,"Sorry, this seat is taken.",A1,
592,Bitte nehmen Sie {{c1::Platz}}!,Platz,der Platz,n. M.,Square,Please sit down!,A1,
593,Holen Sie die {{c1::Polizei}}!,Polizei,die Polizei,n. F.,Police,Call the police!,A1,
594,Die Kinder essen Hähnchen mit {{c1::Pommes}} {{c1::frites}}.,Pommes frites,die Pommes frites,n. Pl.,French fries,The kids are having chicken and chips.,A1,
595,"Wo ist die {{c1::Post}}, bitte?",Post,die Post,n. F.,Mail,"Where's the post office, please?",A1,
596,Ist {{c1::Post}} da?,Post,die Post,n. F.,Post office,Is there any mail?,A1,
597,Wie ist Ihre {{c1::Postleitzahl}}?,Postleitzahl,die Postleitzahl,n. F.,Zip code,What's your zip code?,A1,
598,Ich mache ein {{c1::Praktikum}} bei Siemens.,Praktikum,das Praktikum,n. N.,Internship,I'm doing an internship at Siemens.,A1,
599,Die {{c1::Praxis}} ist ab acht Uhr geöffnet.,Praxis,die Praxis,n. F.,Practice,The office is open from eight o'clock.,A1,
600,Die {{c1::Preise}} sind hoch. ,Preise,der Preis,n. M.,Prices,The prices are high.,A1,
601,Mein {{c1::Problem}} ist die Sprache.,Problem,das Problem,n. N.,Problem,My problem is the language.,A1,
602,Bitte schicken Sie mir einen {{c1::Prospekt}} von Ihrem Hotel.,Prospekt,der prospekt,n. M.,Prospect,Please send me a brochure of your hotel.,A1,
603,Die {{c1::Prüfung}} ist am Montag um 8.00 Uhr.,Prüfung,die Prüfung,n. F.,exam,The exam is on Monday at 8:00.,A1,
604,Der Bus fährt {{c1::pünktlich}} um acht Uhr.,pünktlich,pünktlich,adv.,on time,The bus leaves at eight o'clock sharp.,A1,
605,Herr Müller ist immer {{c1::pünktlich}}. ,pünktlich,pünktlich,adv.,on time,Mr. Müller is always on time. ,A1,
606,Das Kind kann schon {{c1::Rad}} {{c1::fahren}}.,Rad fahren,Rad fahren,,ride a bike,The child can already ride a bike.,A1,
607,Ich {{c1::rauche}} nicht.,rauche,rauchen,v.,smoke,I don't smoke.,A1,
608,Der Unterricht ist in {{c1::Raum}} 332.,Raum,der Raum,n. M.,room,Class is in room 332.,A1,
609,"Die {{c1::Rechnung}}, bitte. ",Rechnung,die Rechnung,n. F.,bill,"The bill, please. ",A1,
610,Die Schillerstraße ist hier {{c1::rechts}}.,rechts,rechts,adv.,right,Schillerstrasse is on the right here.,A1,
611,Heute {{c1::regnet}} es.,regnet,regnen,v.,rain,It's raining today.,A1,
612,Bei diesem {{c1::Regen}} gehe ich nicht raus.,Regen,der Regen,n. M.,rain,I don't go out in this rain.,A1,
613,Ich esse gern {{c1::Reis}}.,Reis,der Reis,n. M.,rice,I like eating rice.,A1,
614,Ich {{c1::reise}} gern.,reise,reisen,v.,travel,I like to travel.,A1,
615,Wir machen eine {{c1::Reise}} nach Österreich.,Reise,die Reise,n. F.,travel,We are going on a trip to Austria.,A1,
616,Mein Mann arbeitet im {{c1::Reisebüro}}.,Reisebüro,das Reisebüro,n. N.,travel agency,My husband works in a travel agency.,A1,
617,Ich kaufe mir einen {{c1::Reiseführer}} von Berlin.,Reiseführer,der Reiseführer,n. M.,travel guide,I'm going to buy a travel guide of Berlin.,A1,
618,Unser Reiseführer heißt Peter.,Reisefürher,der Reiseführer,n. M.,travel guide,Our guide's name is Peter.,A1,
619,Er hat das Fahrrad {{c1::repariert}}.,repariert,reparieren,v.,repair,He fixed the bicycle.,A1,
620,Die {{c1::Reparatur}} ist sehr teuer.,Reparatur,die Reparatur,n. F.,repair,The repair is very expensive.,A1,
621,Wir essen heute in einem {{c1::Restaurant}}.,Restaurant,das Restaurant,n. N.,restaurant,We are going to eat in a restaurant today.,A1,
622,Fragen Sie bitte im Hotel an der {{c1::Rezeption}}.,Rezeption,dei Rezeption,n.,reception,Please ask at the reception desk in the hotel.,A1,
623,Habe ich das {{c1::richtig}} verstanden?,richtig,richtig,adv.,correct,Did I understand that correctly?,A1,
