Rank,Sentence,Cloze,Word,POS,Definition,Translation,Note,CEFR
10025,Dieser Raum ist größer als ihr standard {{c1::Gefrierschrank}}.,Gefrierschrank,Gefrierschrank,n. M.,freezer,This room is bigger than a commercial freezer.,,
10024,Ich hielt Sie für einen fehlgeleiteten {{c1::Idealisten}}.,Idealisten,Idealist,n. M.,idealist,I thought zou were just a misguided idealist.,,
10023,"Hör endlich auf, den sterbenden {{c1::Schwan}} zu spielen.",Schwan,Schwan,n. M.,Schwan,Please drop the whole dying swan act.,"This phrase is commonly used in German to tell someone to stop exaggerating their problems or to quit behaving in an overly dramatic or affected manner, similar to the English phrase ""stop playing the martyr."" The ""dying swan"" is a reference to a ballet piece where a swan character dies dramatically, hence it has become a metaphor for exaggerated suffering or melodrama.",
10022,Griechenland kann nicht ein Jahrzehnt in einer Depression {{c1::verharren}}. ,verharren,verharren,v.,verharren,Greece cannot remain in a depression for a decade.,,
10021,"Stellt euch {{c1::seitwärts}}, dann seid ihr weniger angreifbar.",seitwärts,seitwärts,adv.,sideways,"Stand sideways, you're less of a target.",,
10020,Bei {{c1::Schüchternheit}} geht es um Angst vor gesellschaftlichem Urteil.,Schüchternheit,Schüchternheit,n. F.,shyness,Shyness is about fear of social judgment.,,
10019,"Wieso habe ich nur das Gefühl, das das mit Ihrem {{c1::Widersacher}} in Verbindung steht?",Widersacher,Widersacher,n. M.,adversary,Why do I think this is connected to your adversary?,,
10018,Weiterhin wird eine Leuchte vorgeschlagen umfassend eine solche {{c1::Schaltung}}.,Schaltung,Schaltung,n. F.,"circuit, gearshift","Furthermore, a light is proposed comprising such a circuit",,
10017,Ich möchte nicht den Ruf eines Kameraden {{c1::besudeln}} wegen einer unbegründeten Behauptung.,besudeln,besudeln,v.,"sully, besmirch",I don't want to sully the reputation of a friend over an unsubstantiated allegation.,,
10016,"Die Datenbank kann {{c1::stündlich}}, täglich oder wöchentlich heruntergeladen werden.",stündlich,stündlich,"adv., adj.",hourly,"The database can be downloaded hourly, daily, or weekly.",,
10015,Der Stoß hätte einen wilden {{c1::Eber}} aufgespießt. ,Eber,Eber,n. M.,boar,That spear would have skewered a wild boar.,,
10014,Bei der Aktualisierung können zusätzliche Gebühren {{c1::anfallen}}.,anfallen,anfallen,v.,"accrue, accumulate",Additional charges may also arise when updating.,,
10013,Ihr seid nur zwei {{c1::nichtsnutzige}} Kriminelle.,nichtsnutzige,nichtsnutzig,adj.,worthless,You're just a pair of worthless criminals.,,
10012,"Und ich darf intervenieren, falls Sie sich zu sehr {{c1::verausgaben}}.",verausgaben,verausgaben,v.,"exert oneself, overspend",I have the right to intervene if you exert yourself too much.,The speaker is allowed or has the permission to step in if the person they are talking to is overworking or pushing themselves too hard.,
10011,Das wäre ein herber {{c1::Rückschlag}} für den Verbraucherschutz.,Rückschlag,Rückschlag,n. M.,setback,It would be a bitter setback for consumer protection.,,
10010,Kommen Sie bloß nicht an den Abzug mit Ihren {{c1::zittrigen}} Händen.,zittrigen,zittrig,adj.,shaky; adv.: shakily,Just do not touch the trigger with your shaky hands.,"""bloß"" is an adverb which adds emphasis to the negation, similar to the English ""just"" or ""merely"" in this context.",
10009,Es ist eine weitläufige {{c1::Oase}} des Friedens mit ihren schattenspendenden Bäumen.,Oase,Oase,n. F.,oasis,It is a spacious oasis of peace with its shade-giving trees.,,
10008,"Und wir dachten eigentlich, sie hätte keinen {{c1::mütterlichen}} Funken im Körper.",mütterlichen,mütterlich,adj.,maternal; adv.: maternally,And we actually thought she didn't have a maternal spark in her body.,The sentence expresses that the speakers previously believed that the woman in question lacked any semblance of maternal instinct or feeling.,
10007,Dies wird derzeit im Rat noch {{c1::streitig}} diskutiert.,streitig,streitig,adj.,"debatable, contested",This is still being disputed in the Council at present.,,
10006,"Wieder einmal wird also mit zweierlei Maß gemessen, was ich für {{c1::bedauernswert}} halte.",bedauernswert,bedauernswert,adj.,"regrettable, deplorable","So once again, there is a double standard, which I find regrettable.","""bedauerlich"" is more about expressing regret or disappointment, often over a situation or event, while ""bedauernswert"" is more about pity or sympathy, often directed towards a person or their condition. / ""mit zweierlei Maß messen"": apply double standards.; ",
10005,"Ich habe ihm erklärt, dass wir ein paar Grundregeln festlegen müssen, es wurde etwas {{c1::hitzig}}.",hitzig,hitzig,adj.,heated; adv.: hotly,I told him we need to lay down some ground rules; it got a little heated.,,
10004,Wir haben hier {{c1::unlängst}} eine Debatte über die Liberalisierung der gemeinswohlorientierten Leistungen geführt.,unlängst,unlängst,adv.,recently,We recently had a debate here about the liberalization of public welfare-oriented services.,,
10003,Er hält insbesondere diese {{c1::Weigerung}} für bedauerlich.,Weigerung,Weigerung,n. F.,refusal,He particularly finds this refusal regrettable.,,
10002,Das Funkgerät ist nass geworden und alles ist {{c1::verrostet}}. ,verrostet,verrosten,v.,rust,"Water got into the radio, everything is rusted.",,
10001,"Ich wünschte nur, der ganze {{c1::Altersunterschied}} würde das nicht so unangenehm machen.",Altersunterschied,Altersunterschied,n. M.,age difference,I just wish that the entire age difference wouldn't make it so uncomfortable.,,
10000,"Ich rate dir, deine Entscheidungen {{c1::sorgsam}} zu treffen.",sorgsam,sorgsam,adj.,careful; adv.: carefully,I would encourage you to make your choices carefully.,,
9999,"Es wundert mich nicht, dass ich noch immer die Äste hinter mir knistern höre unter dem leichten Tritt seiner {{c1::Sohlen}}.",Sohlen,Sohle,n. F.,sole,it does not surprise me that I still hear the branches crackle behind me under the light tread of his soles.,,
9998,"Doch diesmal habe ich meine {{c1::Geheimwaffe}} mitgebracht, mein Gehirn.",Geheimwaffe,Geheimwaffe,n. F.,secret weapon,"Only this time, I brought my secret weapon, my brain.",,
9997,"Alles, um das Gebräusch von zerbrechenden Eierschalen zu {{c1::übertönen}}.",übertönen,übertönen,v.,"to drown (out), to overshadow","Everything, to drown out the sound of breaking eggshells.","The whole sentence is suggesting that everything is done in an effort to drown out or overshadow the sound of breaking eggshells. It's likely a metaphorical statement, implying that all actions are aimed at covering up or ignoring a delicate, possibly uncomfortable situation (symbolized by the breaking eggshells).",
9996,"Mir ist aufgefallen, ich falle nicht so auf, wenn ich mich {{c1::herausgeputzt}} habe.",herausgeputzt,herausputzen,v.,dress up,I've noticed that I don't stand out as much when I'm all dressed up.,,
9995,"Sie sagte, sie würde meine {{c1::Arztrechnungen}} übernehmen und ich konnte es mir nicht leisten, abzulehnen.",Arztrechnungen,Arztrechnungen,n. F.,medical bill,"She said she would cover my medical bills, and I couldn't afford to say no.",,
9994,"Wenn man sich ihnen nicht zuwendet, sie nicht versorgt, {{c1::verwelken}} sie.",verwelken,verwelken,v.,wither,"If you don't tend to them, nourish them, they wither.",,
9993,Ich habe Sie mit einer {{c1::Formsache}} erledigt.,Formsache,Formsache,n. F.,technicality,I got you on a technicality.,"The word ""Formsache"" is often used to refer to a minor detail or a technical aspect of a rule, procedure, or law. The sentence means that a person has found a small detail or rule (a technicality) that allows them to win an argument, a case, or a competition, even if it may not be in line with the overall intention or spirit of the rules.",
9992,Eine {{c1::alleinstehende}} Mutter kann in dieser Männerwelt nicht gewinnen.,alleinstehende,alleinstehend,adj.,"single, isolatd",A single mother can't win in a man's world.,,
9991,Soll ich dir einen {{c1::Rettungsring}} zuwerfen oder dich einfach untergehen lassen?,Rettungsring,Rettungsring,n. M.,life preserver,Do you want me to toss you a life preserver now or just let you sink on your own?,,
9990,"Ich würde auf meinen guten Ruf wetten, dass er so {{c1::zurechnungsfähig}} ist wie ich.",zurechnungsfähig,zurechnungsfähig,adj.,sane; adv.: sanely,I would bet my good reputation that he is as sane as I am.,,
9989,Ein gut platzierer {{c1::Tritt}} direct unter das Knie wird deinen Gegner zum Krüppel machen.,Tritt,Tritt,n. M,"step, kick",A well-placed kick right beneath the knee will criplle your opponent.,,
9988,Im schlimmsten Fall könnte dies den Kampf gegen Polio um Jahrzehnte {{c1::zurückwerfen}}.,zurückwerfen,zurückwerfen,v.,"refleck, set back","In the worst case, this could set back the fight against polio by decades.",,
9987,Ich habe dich vorher noch nie {{c1::zunähen}} müssen,zunähen,zunähen,v.,stitch up,I've never had to stitch you up before.,,
9986,"Wählen Sie die Umgrenzungen aus, um Objekte zu {{c1::stutzen}}.",stutzen,stutzen,v.,trim,"To trim, objects, select the boundaries.",,
9985,Diesen {{c1::Rubin}} würde ich immer wiedererkennen.,Rubin,Rubin,n. M.,ruby,I would always recognize this ruby.,,
9984,Du hast die Hunde den Fasan {{c1::zerfleischen}} lassen.,zerfleischen,zerfleischen,v.,to tear apart,You let the dogs tear the pheasant apart.,,
9983,Dies ist ein Gerät zur Entfernung von {{c1::Warzen}} mit Flüssigstickstoff.,Warzen,Warze,n. F.,wart,This is a device for the removal of warts using liquid nitrogen.,,
